"words","frequency","first","second","third"
"haters going hate",2,"haters","going","hate"
"have blessed day",2,"have","blessed","day"
"have ever wondered",2,"have","ever","wondered"
"have good day",3,"have","good","day"
"have good weekend",2,"have","good","weekend"
"have great day",8,"have","great","day"
"have great one",3,"have","great","one"
"have great trip",2,"have","great","trip"
"have great week",2,"have","great","week"
"have great weekend",11,"have","great","weekend"
"have nice day",3,"have","nice","day"
"have one on",3,"have","one","on"
"have read blog",2,"have","read","blog"
"have wonderful weekend",3,"have","wonderful","weekend"
"haven’t done much",2,"haven’t","done","much"
"he doesn’t like",2,"he","doesn’t","like"
"he goes point",2,"he","goes","point"
"he got nothing",2,"he","got","nothing"
"he just falling",2,"he","just","falling"
"he keep us",2,"he","keep","us"
"he know fathers",2,"he","know","fathers"
"he knows i’m",2,"he","knows","i’m"
"he loves much",2,"he","loves","much"
"he loves us",2,"he","loves","us"
"he said he",2,"he","said","he"
"he said i",3,"he","said","i"
"he sounded like",2,"he","sounded","like"
"he will show",2,"he","will","show"
"headed back home",2,"headed","back","home"
"headtitle gonetitlehead body",2,"headtitle","gonetitlehead","body"
"health care administration",2,"health","care","administration"
"health human services",2,"health","human","services"
"heard great things",3,"heard","great","things"
"heart i miss",2,"heart","i","miss"
"hearts red white",2,"hearts","red","white"
"heat tablespoon oil",2,"heat","tablespoon","oil"
"help people understand",2,"help","people","understand"
"help spread word",2,"help","spread","word"
"help us spread",2,"help","us","spread"
"henry david thoreau",3,"henry","david","thoreau"
"henry ward beecher",2,"henry","ward","beecher"
"her younger sister",2,"her","younger","sister"
"hey i heard",2,"hey","i","heard"
"hey i just",3,"hey","i","just"
"hey i love",2,"hey","i","love"
"hey i think",2,"hey","i","think"
"hide yo kids",2,"hide","yo","kids"
"hide yo wife",2,"hide","yo","wife"
"high powered water",2,"high","powered","water"
"high school college",2,"high","school","college"
"high school football",3,"high","school","football"
"high school i",2,"high","school","i"
"high school ministry",2,"high","school","ministry"
"high school student",3,"high","school","student"
"high school students",2,"high","school","students"
"his begotten son",2,"his","begotten","son"
"his hands his",2,"his","hands","his"
"his love grace",2,"his","love","grace"
"history tells us",2,"history","tells","us"
"ho ho ho",2,"ho","ho","ho"
"home i think",2,"home","i","think"
"home new york",2,"home","new","york"
"home next weekend",2,"home","next","weekend"
"home sweet home",2,"home","sweet","home"
"honest i think",2,"honest","i","think"
"hop across street",2,"hop","across","street"
"hope awesome day",2,"hope","awesome","day"
"hope back soon",2,"hope","back","soon"
"hope can make",2,"hope","can","make"
"hope everyone else",3,"hope","everyone","else"
"hope everyone enjoys",2,"hope","everyone","enjoys"
"hope everyone good",3,"hope","everyone","good"
"hope everyone wonderful",2,"hope","everyone","wonderful"
"hope everyones holiday",2,"hope","everyones","holiday"
"hope feel better",2,"hope","feel","better"
"hope goes well",4,"hope","goes","well"
"hope good day",4,"hope","good","day"
"hope good one",2,"hope","good","one"
"hope great day",4,"hope","great","day"
"hope great time",3,"hope","great","time"
"hope great weekend",3,"hope","great","weekend"
"hope i can",4,"hope","i","can"
"hope i get",4,"hope","i","get"
"hope one day",3,"hope","one","day"
"hope see soon",8,"hope","see","soon"
"hope see ya",2,"hope","see","ya"
"hope u like",2,"hope","u","like"
"hopefully i get",2,"hopefully","i","get"
"hoping his god",2,"hoping","his","god"
"hoping i can",2,"hoping","i","can"
"hot hot hot",2,"hot","hot","hot"
"house last night",2,"house","last","night"
"how can help",2,"how","can","help"
"how can i",7,"how","can","i"
"how i supposed",2,"how","i","supposed"
"how many people",2,"how","many","people"
"how things going",2,"how","things","going"
"however i can",2,"however","i","can"
"however i didn’t",2,"however","i","didn’t"
"however i take",2,"however","i","take"
"html headtitle gonetitlehead",2,"html","headtitle","gonetitlehead"
"human rights violations",3,"human","rights","violations"
"hundreds millions dollars",3,"hundreds","millions","dollars"
"hunger games i",2,"hunger","games","i"
"hurdle iris’s gift",2,"hurdle","iris’s","gift"
"husband ashley cole",2,"husband","ashley","cole"
"i absolutely love",4,"i","absolutely","love"
"i actually really",2,"i","actually","really"
"i admit i",2,"i","admit","i"
"i agree i",3,"i","agree","i"
"i almost forgot",2,"i","almost","forgot"
"i already got",2,"i","already","got"
"i already knew",2,"i","already","knew"
"i also added",2,"i","also","added"
"i also found",3,"i","also","found"
"i also like",5,"i","also","like"
"i also love",3,"i","also","love"
"i also put",2,"i","also","put"
"i also think",7,"i","also","think"
"i also used",3,"i","also","used"
"i also want",2,"i","also","want"
"i also wanted",2,"i","also","wanted"
"i always cry",2,"i","always","cry"
"i always end",2,"i","always","end"
"i always felt",4,"i","always","felt"
"i always find",3,"i","always","find"
"i always get",6,"i","always","get"
"i always kept",2,"i","always","kept"
"i always like",2,"i","always","like"
"i always say",3,"i","always","say"
"i always see",2,"i","always","see"
"i always think",3,"i","always","think"
"i always thought",2,"i","always","thought"
"i always time",2,"i","always","time"
"i always want",3,"i","always","want"
"i always wanted",3,"i","always","wanted"
"i always worry",2,"i","always","worry"
"i ask one",3,"i","ask","one"
"i ask s",2,"i","ask","s"
"i asked i",2,"i","asked","i"
"i ate yesterday",2,"i","ate","yesterday"
"i beautiful i",2,"i","beautiful","i"
"i believe heart",2,"i","believe","heart"
"i believe i",7,"i","believe","i"
"i bet i",4,"i","bet","i"
"i bought first",2,"i","bought","first"
"i bought i",2,"i","bought","i"
"i bought new",2,"i","bought","new"
"i bought years",2,"i","bought","years"
"i brought home",4,"i","brought","home"
"i came across",2,"i","came","across"
"i came back",3,"i","came","back"
"i came home",2,"i","came","home"
"i can actually",2,"i","can","actually"
"i can add",2,"i","can","add"
"i can always",3,"i","can","always"
"i can appreciate",2,"i","can","appreciate"
"i can become",2,"i","can","become"
"i can deal",2,"i","can","deal"
"i can definitely",2,"i","can","definitely"
"i can dig",2,"i","can","dig"
"i can eat",4,"i","can","eat"
"i can express",2,"i","can","express"
"i can feel",7,"i","can","feel"
"i can finally",2,"i","can","finally"
"i can find",3,"i","can","find"
"i can finish",2,"i","can","finish"
"i can follow",2,"i","can","follow"
"i can get",11,"i","can","get"
"i can go",7,"i","can","go"
"i can grow",2,"i","can","grow"
"i can guarantee",3,"i","can","guarantee"
"i can hardly",2,"i","can","hardly"
"i can hear",5,"i","can","hear"
"i can help",8,"i","can","help"
"i can home",2,"i","can","home"
"i can i",4,"i","can","i"
"i can ill",2,"i","can","ill"
"i can imagine",3,"i","can","imagine"
"i can just",6,"i","can","just"
"i can keep",2,"i","can","keep"
"i can let",2,"i","can","let"
"i can look",2,"i","can","look"
"i can make",9,"i","can","make"
"i can never",6,"i","can","never"
"i can put",2,"i","can","put"
"i can really",4,"i","can","really"
"i can safely",2,"i","can","safely"
"i can said",2,"i","can","said"
"i can say",10,"i","can","say"
"i can see",19,"i","can","see"
"i can shameless",2,"i","can","shameless"
"i can share",2,"i","can","share"
"i can sleep",2,"i","can","sleep"
"i can stick",2,"i","can","stick"
"i can still",3,"i","can","still"
"i can stop",2,"i","can","stop"
"i can take",2,"i","can","take"
"i can talk",4,"i","can","talk"
"i can tell",7,"i","can","tell"
"i can think",5,"i","can","think"
"i can use",2,"i","can","use"
"i can walk",2,"i","can","walk"
"i can watch",2,"i","can","watch"
"i can write",5,"i","can","write"
"i can’t believe",2,"i","can’t","believe"
"i can’t get",2,"i","can’t","get"
"i can’t imagine",2,"i","can’t","imagine"
"i can’t say",3,"i","can’t","say"
"i can’t stand",2,"i","can’t","stand"
"i can’t tell",3,"i","can’t","tell"
"i can’t walk",2,"i","can’t","walk"
"i cant believe",4,"i","cant","believe"
"i cant get",2,"i","cant","get"
"i cant wait",5,"i","cant","wait"
"i checked email",2,"i","checked","email"
"i come back",2,"i","come","back"
"i come contact",3,"i","come","contact"
"i come god",2,"i","come","god"
"i come i",3,"i","come","i"
"i couldn’t happier",2,"i","couldn’t","happier"
"i couldn’t see",2,"i","couldn’t","see"
"i decided give",2,"i","decided","give"
"i decided i",8,"i","decided","i"
"i decided join",2,"i","decided","join"
"i decided make",5,"i","decided","make"
"i decided try",2,"i","decided","try"
"i decided turn",2,"i","decided","turn"
"i decided use",2,"i","decided","use"
"i deeply humbled",2,"i","deeply","humbled"
"i definitely recommend",2,"i","definitely","recommend"
"i determined i",2,"i","determined","i"
"i didn’t even",3,"i","didn’t","even"
"i didn’t get",2,"i","didn’t","get"
"i didn’t know",9,"i","didn’t","know"
"i didn’t see",2,"i","didn’t","see"
"i didn’t wait",2,"i","didn’t","wait"
"i didn’t want",4,"i","didn’t","want"
"i discovered i",4,"i","discovered","i"
"i don’t believe",2,"i","don’t","believe"
"i don’t care",3,"i","don’t","care"
"i don’t deserve",2,"i","don’t","deserve"
"i don’t even",2,"i","don’t","even"
"i don’t expect",2,"i","don’t","expect"
"i don’t feel",3,"i","don’t","feel"
"i don’t get",3,"i","don’t","get"
"i don’t i",2,"i","don’t","i"
"i don’t know",26,"i","don’t","know"
"i don’t like",3,"i","don’t","like"
"i don’t mean",2,"i","don’t","mean"
"i don’t mind",2,"i","don’t","mind"
"i don’t really",3,"i","don’t","really"
"i don’t remember",2,"i","don’t","remember"
"i don’t see",2,"i","don’t","see"
"i don’t think",13,"i","don’t","think"
"i don’t want",9,"i","don’t","want"
"i dont even",2,"i","dont","even"
"i dont know",3,"i","dont","know"
"i dont like",4,"i","dont","like"
"i dont think",4,"i","dont","think"
"i dont wanna",2,"i","dont","wanna"
"i dont want",3,"i","dont","want"
"i doubt i",2,"i","doubt","i"
"i dream last",2,"i","dream","last"
"i dreamt i",2,"i","dreamt","i"
"i eat fries",2,"i","eat","fries"
"i enjoy cooking",2,"i","enjoy","cooking"
"i enjoy helping",2,"i","enjoy","helping"
"i even added",2,"i","even","added"
"i even felt",2,"i","even","felt"
"i even got",2,"i","even","got"
"i even know",11,"i","even","know"
"i even like",2,"i","even","like"
"i ever get",5,"i","ever","get"
"i ever grateful",2,"i","ever","grateful"
"i ever read",3,"i","ever","read"
"i ever seen",2,"i","ever","seen"
"i ever wanted",2,"i","ever","wanted"
"i expect someone",3,"i","expect","someone"
"i fall asleep",2,"i","fall","asleep"
"i fall love",3,"i","fall","love"
"i feel better",3,"i","feel","better"
"i feel good",5,"i","feel","good"
"i feel great",2,"i","feel","great"
"i feel honored",2,"i","feel","honored"
"i feel i",2,"i","feel","i"
"i feel left",2,"i","feel","left"
"i feel like",59,"i","feel","like"
"i feel little",3,"i","feel","little"
"i feel lucky",2,"i","feel","lucky"
"i feel pain",3,"i","feel","pain"
"i feel way",3,"i","feel","way"
"i fell asleep",3,"i","fell","asleep"
"i felt bad",2,"i","felt","bad"
"i felt i",3,"i","felt","i"
"i felt like",9,"i","felt","like"
"i figured i",2,"i","figured","i"
"i finally found",2,"i","finally","found"
"i finally going",2,"i","finally","going"
"i finally got",3,"i","finally","got"
"i find bit",2,"i","find","bit"
"i find fascinating",2,"i","find","fascinating"
"i find i",5,"i","find","i"
"i find i’m",2,"i","find","i’m"
"i find job",2,"i","find","job"
"i find little",3,"i","find","little"
"i find time",3,"i","find","time"
"i find weird",2,"i","find","weird"
"i finished first",2,"i","finished","first"
"i first heard",2,"i","first","heard"
"i first met",3,"i","first","met"
"i first saw",2,"i","first","saw"
"i first started",2,"i","first","started"
"i follow u",2,"i","follow","u"
"i followed back",3,"i","followed","back"
"i forget i",3,"i","forget","i"
"i found great",2,"i","found","great"
"i found i",5,"i","found","i"
"i found interesting",4,"i","found","interesting"
"i found little",2,"i","found","little"
"i found one",4,"i","found","one"
"i found online",2,"i","found","online"
"i found strength",2,"i","found","strength"
"i get back",3,"i","get","back"
"i get done",2,"i","get","done"
"i get enough",3,"i","get","enough"
"i get happy",2,"i","get","happy"
"i get home",5,"i","get","home"
"i get life",2,"i","get","life"
"i get many",2,"i","get","many"
"i get now",3,"i","get","now"
"i get one",3,"i","get","one"
"i get paid",3,"i","get","paid"
"i get ready",2,"i","get","ready"
"i get see",3,"i","get","see"
"i get start",2,"i","get","start"
"i get two",2,"i","get","two"
"i get work",2,"i","get","work"
"i getting ready",2,"i","getting","ready"
"i go back",4,"i","go","back"
"i go bed",4,"i","go","bed"
"i go i",3,"i","go","i"
"i go see",2,"i","go","see"
"i going eat",2,"i","going","eat"
"i going get",3,"i","going","get"
"i going go",2,"i","going","go"
"i going make",2,"i","going","make"
"i going see",2,"i","going","see"
"i going straight",2,"i","going","straight"
"i going take",2,"i","going","take"
"i good reason",2,"i","good","reason"
"i got back",3,"i","got","back"
"i got bit",2,"i","got","bit"
"i got chance",2,"i","got","chance"
"i got email",2,"i","got","email"
"i got everything",2,"i","got","everything"
"i got feeling",4,"i","got","feeling"
"i got good",2,"i","got","good"
"i got home",5,"i","got","home"
"i got i",2,"i","got","i"
"i got job",2,"i","got","job"
"i got lost",2,"i","got","lost"
"i got new",4,"i","got","new"
"i got one",2,"i","got","one"
"i got u",2,"i","got","u"
"i got work",2,"i","got","work"
"i great time",3,"i","great","time"
"i guess can",2,"i","guess","can"
"i guess i",9,"i","guess","i"
"i guess ill",4,"i","guess","ill"
"i guess im",4,"i","guess","im"
"i guess just",2,"i","guess","just"
"i guess one",2,"i","guess","one"
"i guess really",3,"i","guess","really"
"i guess time",2,"i","guess","time"
"i hardly ever",2,"i","hardly","ever"
"i hate crying",2,"i","hate","crying"
"i hate flying",2,"i","hate","flying"
"i hate going",2,"i","hate","going"
"i hate i",9,"i","hate","i"
"i hate knowing",2,"i","hate","knowing"
"i hate people",3,"i","hate","people"
"i hear ask",2,"i","hear","ask"
"i hear ya",2,"i","hear","ya"
"i heard like",3,"i","heard","like"
"i heard radio",2,"i","heard","radio"
"i heard story",2,"i","heard","story"
"i help thinking",2,"i","help","thinking"
"i high school",2,"i","high","school"
"i highly recommend",8,"i","highly","recommend"
"i highly suggest",2,"i","highly","suggest"
"i hope able",2,"i","hope","able"
"i hope back",2,"i","hope","back"
"i hope can",3,"i","hope","can"
"i hope enjoy",5,"i","hope","enjoy"
"i hope enjoyed",2,"i","hope","enjoyed"
"i hope everyone",2,"i","hope","everyone"
"i hope get",5,"i","hope","get"
"i hope good",2,"i","hope","good"
"i hope great",6,"i","hope","great"
"i hope i",7,"i","hope","i"
"i hope like",2,"i","hope","like"
"i hope much",2,"i","hope","much"
"i hope one",3,"i","hope","one"
"i hope post",2,"i","hope","post"
"i hope see",3,"i","hope","see"
"i hope something",2,"i","hope","something"
"i hope u",3,"i","hope","u"
"i hope well",2,"i","hope","well"
"i hope will",4,"i","hope","will"
"i i get",2,"i","i","get"
"i i i",4,"i","i","i"
"i i just",2,"i","i","just"
"i i make",2,"i","i","make"
"i i still",2,"i","i","still"
"i imagine i",2,"i","imagine","i"
"i just added",2,"i","just","added"
"i just ate",2,"i","just","ate"
"i just buy",3,"i","just","buy"
"i just checked",2,"i","just","checked"
"i just died",2,"i","just","died"
"i just don’t",3,"i","just","don’t"
"i just explain",2,"i","just","explain"
"i just feel",2,"i","just","feel"
"i just finished",7,"i","just","finished"
"i just found",6,"i","just","found"
"i just get",2,"i","just","get"
"i just got",12,"i","just","got"
"i just hope",2,"i","just","hope"
"i just know",2,"i","just","know"
"i just left",2,"i","just","left"
"i just let",2,"i","just","let"
"i just like",7,"i","just","like"
"i just love",5,"i","just","love"
"i just made",2,"i","just","made"
"i just mood",2,"i","just","mood"
"i just moved",2,"i","just","moved"
"i just need",5,"i","just","need"
"i just noticed",2,"i","just","noticed"
"i just now",2,"i","just","now"
"i just ran",2,"i","just","ran"
"i just read",6,"i","just","read"
"i just reading",2,"i","just","reading"
"i just realized",5,"i","just","realized"
"i just really",2,"i","just","really"
"i just received",2,"i","just","received"
"i just said",2,"i","just","said"
"i just saw",12,"i","just","saw"
"i just say",3,"i","just","say"
"i just sent",3,"i","just","sent"
"i just started",3,"i","just","started"
"i just stop",2,"i","just","stop"
"i just texted",2,"i","just","texted"
"i just think",4,"i","just","think"
"i just thought",4,"i","just","thought"
"i just told",2,"i","just","told"
"i just took",2,"i","just","took"
"i just use",2,"i","just","use"
"i just wait",2,"i","just","wait"
"i just wanna",6,"i","just","wanna"
"i just want",16,"i","just","want"
"i just wanted",5,"i","just","wanted"
"i just went",2,"i","just","went"
"i just wish",3,"i","just","wish"
"i just woke",2,"i","just","woke"
"i just work",2,"i","just","work"
"i keep getting",2,"i","keep","getting"
"i keep hitting",2,"i","keep","hitting"
"i keep telling",2,"i","keep","telling"
"i keep thinking",3,"i","keep","thinking"
"i kid i",2,"i","kid","i"
"i kinda wanted",2,"i","kinda","wanted"
"i knew i",13,"i","knew","i"
"i knew id",2,"i","knew","id"
"i know better",2,"i","know","better"
"i know can",2,"i","know","can"
"i know everyone",2,"i","know","everyone"
"i know everything",2,"i","know","everything"
"i know feeling",2,"i","know","feeling"
"i know get",3,"i","know","get"
"i know going",5,"i","know","going"
"i know i",39,"i","know","i"
"i know im",12,"i","know","im"
"i know ive",2,"i","know","ive"
"i know just",2,"i","know","just"
"i know know",2,"i","know","know"
"i know long",2,"i","know","long"
"i know lot",3,"i","know","lot"
"i know mean",4,"i","know","mean"
"i know mom",3,"i","know","mom"
"i know much",4,"i","know","much"
"i know nothing",2,"i","know","nothing"
"i know now",4,"i","know","now"
"i know people",4,"i","know","people"
"i know plenty",2,"i","know","plenty"
"i know probably",2,"i","know","probably"
"i know re",4,"i","know","re"
"i know right",5,"i","know","right"
"i know s",4,"i","know","s"
"i know said",2,"i","know","said"
"i know say",2,"i","know","say"
"i know thinking",2,"i","know","thinking"
"i know u",4,"i","know","u"
"i know want",4,"i","know","want"
"i know will",5,"i","know","will"
"i know y",3,"i","know","y"
"i left house",2,"i","left","house"
"i let go",5,"i","let","go"
"i like ask",2,"i","like","ask"
"i like dress",2,"i","like","dress"
"i like it",2,"i","like","it"
"i like last",2,"i","like","last"
"i like mix",2,"i","like","mix"
"i like name",2,"i","like","name"
"i like oh",2,"i","like","oh"
"i like oil",2,"i","like","oil"
"i like say",2,"i","like","say"
"i like think",5,"i","like","think"
"i like wake",2,"i","like","wake"
"i like way",2,"i","like","way"
"i listen i",2,"i","listen","i"
"i literally love",2,"i","literally","love"
"i little bit",2,"i","little","bit"
"i little i",2,"i","little","i"
"i little nervous",2,"i","little","nervous"
"i longer care",2,"i","longer","care"
"i look back",2,"i","look","back"
"i look forward",15,"i","look","forward"
"i look good",2,"i","look","good"
"i look like",13,"i","look","like"
"i look mirror",3,"i","look","mirror"
"i looked around",2,"i","looked","around"
"i looking forward",9,"i","looking","forward"
"i lot work",2,"i","lot","work"
"i love baseball",2,"i","love","baseball"
"i love best",2,"i","love","best"
"i love blue",2,"i","love","blue"
"i love book",2,"i","love","book"
"i love church",3,"i","love","church"
"i love everything",3,"i","love","everything"
"i love getting",4,"i","love","getting"
"i love girl",2,"i","love","girl"
"i love good",3,"i","love","good"
"i love heart",2,"i","love","heart"
"i love i",8,"i","love","i"
"i love idea",3,"i","love","idea"
"i love im",2,"i","love","im"
"i love jesus",2,"i","love","jesus"
"i love just",2,"i","love","just"
"i love last",2,"i","love","last"
"i love life",6,"i","love","life"
"i love love",2,"i","love","love"
"i love make",2,"i","love","make"
"i love man",2,"i","love","man"
"i love mother",2,"i","love","mother"
"i love much",11,"i","love","much"
"i love music",2,"i","love","music"
"i love new",3,"i","love","new"
"i love people",3,"i","love","people"
"i love place",2,"i","love","place"
"i love please",2,"i","love","please"
"i love reading",3,"i","love","reading"
"i love s",2,"i","love","s"
"i love see",3,"i","love","see"
"i love share",2,"i","love","share"
"i love sharing",2,"i","love","sharing"
"i love smell",2,"i","love","smell"
"i love song",4,"i","love","song"
"i love stuff",3,"i","love","stuff"
"i love twitter",4,"i","love","twitter"
"i love u",5,"i","love","u"
"i love watching",2,"i","love","watching"
"i love way",4,"i","love","way"
"i love wife",3,"i","love","wife"
"i love working",3,"i","love","working"
"i love ya",2,"i","love","ya"
"i love you",7,"i","love","you"
"i loved film",2,"i","loved","film"
"i loved writing",2,"i","loved","writing"
"i lovehate relationship",2,"i","lovehate","relationship"
"i luv u",4,"i","luv","u"
"i made first",3,"i","made","first"
"i made mistake",2,"i","made","mistake"
"i made sure",2,"i","made","sure"
"i made way",3,"i","made","way"
"i make sure",2,"i","make","sure"
"i managed convince",2,"i","managed","convince"
"i mean come",3,"i","mean","come"
"i mean else",2,"i","mean","else"
"i mean i",7,"i","mean","i"
"i mean look",2,"i","mean","look"
"i mean nothing",2,"i","mean","nothing"
"i mean really",3,"i","mean","really"
"i mention i",2,"i","mention","i"
"i mentioned i",3,"i","mentioned","i"
"i might add",2,"i","might","add"
"i might well",2,"i","might","well"
"i mind seeing",2,"i","mind","seeing"
"i miss boo",2,"i","miss","boo"
"i miss i",3,"i","miss","i"
"i miss like",2,"i","miss","like"
"i miss much",3,"i","miss","much"
"i miss seeing",2,"i","miss","seeing"
"i miss talking",2,"i","miss","talking"
"i miss twitter",2,"i","miss","twitter"
"i much fun",2,"i","much","fun"
"i must admit",5,"i","must","admit"
"i must say",5,"i","must","say"
"i need another",2,"i","need","another"
"i need buy",2,"i","need","buy"
"i need figure",3,"i","need","figure"
"i need find",3,"i","need","find"
"i need followers",5,"i","need","followers"
"i need food",3,"i","need","food"
"i need get",7,"i","need","get"
"i need go",9,"i","need","go"
"i need hear",2,"i","need","hear"
"i need help",2,"i","need","help"
"i need hours",2,"i","need","hours"
"i need keep",2,"i","need","keep"
"i need little",2,"i","need","little"
"i need look",2,"i","need","look"
"i need lot",2,"i","need","lot"
"i need make",3,"i","need","make"
"i need new",2,"i","need","new"
"i need one",2,"i","need","one"
"i need right",3,"i","need","right"
"i need see",4,"i","need","see"
"i need sleep",3,"i","need","sleep"
"i need someone",2,"i","need","someone"
"i need take",3,"i","need","take"
"i need tell",2,"i","need","tell"
"i need use",2,"i","need","use"
"i need work",2,"i","need","work"
"i needed find",2,"i","needed","find"
"i needed get",2,"i","needed","get"
"i needed see",2,"i","needed","see"
"i needed today",2,"i","needed","today"
"i never get",5,"i","never","get"
"i never go",2,"i","never","go"
"i never got",3,"i","never","got"
"i never heard",3,"i","never","heard"
"i never imagined",3,"i","never","imagined"
"i never knew",5,"i","never","knew"
"i never know",2,"i","never","know"
"i never met",2,"i","never","met"
"i never really",2,"i","never","really"
"i never saw",2,"i","never","saw"
"i never stop",2,"i","never","stop"
"i never thought",2,"i","never","thought"
"i now following",2,"i","now","following"
"i now want",2,"i","now","want"
"i often find",2,"i","often","find"
"i one want",2,"i","one","want"
"i pay attention",3,"i","pay","attention"
"i plan using",2,"i","plan","using"
"i play free",2,"i","play","free"
"i pray thee",2,"i","pray","thee"
"i pretty good",2,"i","pretty","good"
"i pretty much",3,"i","pretty","much"
"i probably break",2,"i","probably","break"
"i promise i",4,"i","promise","i"
"i promised i",2,"i","promised","i"
"i put lot",3,"i","put","lot"
"i put together",3,"i","put","together"
"i quite like",2,"i","quite","like"
"i rather like",2,"i","rather","like"
"i read books",2,"i","read","books"
"i read the",2,"i","read","the"
"i realize i",2,"i","realize","i"
"i realized i",3,"i","realized","i"
"i really appreciate",3,"i","really","appreciate"
"i really can’t",2,"i","really","can’t"
"i really care",2,"i","really","care"
"i really didn’t",2,"i","really","didn’t"
"i really dig",2,"i","really","dig"
"i really enjoy",3,"i","really","enjoy"
"i really enjoyed",6,"i","really","enjoyed"
"i really excited",2,"i","really","excited"
"i really happy",2,"i","really","happy"
"i really hate",3,"i","really","hate"
"i really hope",5,"i","really","hope"
"i really i",3,"i","really","i"
"i really just",2,"i","really","just"
"i really like",7,"i","really","like"
"i really liked",4,"i","really","liked"
"i really miss",4,"i","really","miss"
"i really need",12,"i","really","need"
"i really really",3,"i","really","really"
"i really start",2,"i","really","start"
"i really use",2,"i","really","use"
"i really wanna",2,"i","really","wanna"
"i really want",20,"i","really","want"
"i really wanted",7,"i","really","wanted"
"i really wish",2,"i","really","wish"
"i recently discovered",2,"i","recently","discovered"
"i reliably informed",2,"i","reliably","informed"
"i remember day",3,"i","remember","day"
"i remember i",5,"i","remember","i"
"i remember last",4,"i","remember","last"
"i remember time",3,"i","remember","time"
"i right now",2,"i","right","now"
"i said earlier",3,"i","said","earlier"
"i said first",2,"i","said","first"
"i said goodbye",2,"i","said","goodbye"
"i said i",9,"i","said","i"
"i said something",2,"i","said","something"
"i said yes",4,"i","said","yes"
"i said yesterday",2,"i","said","yesterday"
"i saw last",2,"i","saw","last"
"i saw post",2,"i","saw","post"
"i say i",8,"i","say","i"
"i see i",6,"i","see","i"
"i see little",2,"i","see","little"
"i see something",2,"i","see","something"
"i see two",2,"i","see","two"
"i see u",2,"i","see","u"
"i seem get",3,"i","seem","get"
"i seen forever",2,"i","seen","forever"
"i seriously love",2,"i","seriously","love"
"i sexy i",2,"i","sexy","i"
"i shall watch",2,"i","shall","watch"
"i slept hours",2,"i","slept","hours"
"i somehow thought",2,"i","somehow","thought"
"i sometimes feel",2,"i","sometimes","feel"
"i soon found",2,"i","soon","found"
"i spend time",2,"i","spend","time"
"i spent entire",2,"i","spent","entire"
"i spent last",2,"i","spent","last"
"i spent time",2,"i","spent","time"
"i spent whole",3,"i","spent","whole"
"i start get",2,"i","start","get"
"i started reading",3,"i","started","reading"
"i started think",2,"i","started","think"
"i started working",3,"i","started","working"
"i started writing",4,"i","started","writing"
"i still don’t",2,"i","still","don’t"
"i still enjoy",3,"i","still","enjoy"
"i still feel",2,"i","still","feel"
"i still get",3,"i","still","get"
"i still got",3,"i","still","got"
"i still haven’t",2,"i","still","haven’t"
"i still know",2,"i","still","know"
"i still love",3,"i","still","love"
"i still pay",2,"i","still","pay"
"i still think",3,"i","still","think"
"i still thinking",2,"i","still","thinking"
"i still want",3,"i","still","want"
"i stop caring",2,"i","stop","caring"
"i stumbled upon",2,"i","stumbled","upon"
"i suppose i",4,"i","suppose","i"
"i sure can",2,"i","sure","can"
"i sure hope",5,"i","sure","hope"
"i sure i",2,"i","sure","i"
"i sure will",5,"i","sure","will"
"i swear i",5,"i","swear","i"
"i swear im",2,"i","swear","im"
"i take home",2,"i","take","home"
"i take seriously",2,"i","take","seriously"
"i talked forever",2,"i","talked","forever"
"i tend agree",2,"i","tend","agree"
"i thank god",2,"i","thank","god"
"i think absolutely",2,"i","think","absolutely"
"i think amazing",2,"i","think","amazing"
"i think another",2,"i","think","another"
"i think applies",2,"i","think","applies"
"i think beautiful",2,"i","think","beautiful"
"i think best",2,"i","think","best"
"i think book",2,"i","think","book"
"i think can",2,"i","think","can"
"i think cloth",2,"i","think","cloth"
"i think eating",2,"i","think","eating"
"i think enough",2,"i","think","enough"
"i think every",2,"i","think","every"
"i think first",2,"i","think","first"
"i think friends",2,"i","think","friends"
"i think getting",2,"i","think","getting"
"i think good",3,"i","think","good"
"i think great",3,"i","think","great"
"i think guys",2,"i","think","guys"
"i think i",50,"i","think","i"
"i think i’ve",2,"i","think","i’ve"
"i think ill",2,"i","think","ill"
"i think im",11,"i","think","im"
"i think important",3,"i","think","important"
"i think ive",2,"i","think","ive"
"i think just",7,"i","think","just"
"i think last",2,"i","think","last"
"i think lemon",2,"i","think","lemon"
"i think little",2,"i","think","little"
"i think long",3,"i","think","long"
"i think lot",3,"i","think","lot"
"i think may",3,"i","think","may"
"i think maybe",2,"i","think","maybe"
"i think meant",2,"i","think","meant"
"i think much",3,"i","think","much"
"i think one",6,"i","think","one"
"i think re",2,"i","think","re"
"i think s",7,"i","think","s"
"i think something",2,"i","think","something"
"i think st",2,"i","think","st"
"i think still",3,"i","think","still"
"i think take",2,"i","think","take"
"i think thats",2,"i","think","thats"
"i think time",4,"i","think","time"
"i think u",3,"i","think","u"
"i think will",7,"i","think","will"
"i think worst",2,"i","think","worst"
"i thoroughly enjoy",2,"i","thoroughly","enjoy"
"i thought d",2,"i","thought","d"
"i thought fun",2,"i","thought","fun"
"i thought going",2,"i","thought","going"
"i thought good",2,"i","thought","good"
